uid,strategy,metric,score,metric_logical
f801cfe693b7e8ca9064dc636337cd4e,"Confuse Features with Benefits: Introduce ambiguity by blending product features with their benefits, making the description less clear and informative.",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
f801cfe693b7e8ca9064dc636337cd4e,"Weaken SEO Optimization: Reduce the effectiveness of keyword integration, leading to less visibility in search engine results.",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
f801cfe693b7e8ca9064dc636337cd4e,"Disrupt Active Voice: Shift to passive voice or awkward phrasing, diminishing the clarity and impact of the product description.",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
108cdf63a53d973d167fd3ded5150fbc,"Confuse Features with Benefits: Introduce ambiguity by blending product features with their benefits, making the description less clear and informative.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
108cdf63a53d973d167fd3ded5150fbc,"Weaken SEO Optimization: Reduce the effectiveness of keyword integration, leading to less visibility in search engine results.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
108cdf63a53d973d167fd3ded5150fbc,"Disrupt Active Voice: Shift to passive voice or awkward phrasing, diminishing the clarity and impact of the product description.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
ec0027e8cfce27851981c11f81814724,"Confuse Features with Benefits: Introduce ambiguity by blending product features with their benefits, making the description less clear and informative.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
ec0027e8cfce27851981c11f81814724,"Weaken SEO Optimization: Reduce the effectiveness of keyword integration, leading to less visibility in search engine results.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
ec0027e8cfce27851981c11f81814724,"Disrupt Active Voice: Shift to passive voice or awkward phrasing, diminishing the clarity and impact of the product description.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
f82a62137c6e61901b13c08bc5685e4d,"Confuse Features with Benefits: Introduce ambiguity by blending product features with their benefits, making the description less clear and informative.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
f82a62137c6e61901b13c08bc5685e4d,"Weaken SEO Optimization: Reduce the effectiveness of keyword integration, leading to less visibility in search engine results.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
f82a62137c6e61901b13c08bc5685e4d,"Disrupt Active Voice: Shift to passive voice or awkward phrasing, diminishing the clarity and impact of the product description.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
279b17b0e0f009f16e6eb50e44216cab,"Confuse Features with Benefits: Introduce ambiguity by blending product features with their benefits, making the description less clear and informative.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
279b17b0e0f009f16e6eb50e44216cab,"Weaken SEO Optimization: Reduce the effectiveness of keyword integration, leading to less visibility in search engine results.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
279b17b0e0f009f16e6eb50e44216cab,"Disrupt Active Voice: Shift to passive voice or awkward phrasing, diminishing the clarity and impact of the product description.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
1a47bf83401270b3185722fc037e5165,"Confuse Features with Benefits: Introduce ambiguity by blending product features with their benefits, making the description less clear and informative.",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
1a47bf83401270b3185722fc037e5165,"Weaken SEO Optimization: Reduce the effectiveness of keyword integration, leading to less visibility in search engine results.",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
1a47bf83401270b3185722fc037e5165,"Disrupt Active Voice: Shift to passive voice or awkward phrasing, diminishing the clarity and impact of the product description.",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
47b1d275c44d4c678ab9b79632f5ace9,"Confuse Features with Benefits: Introduce ambiguity by blending product features with their benefits, making the description less clear and informative.",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
47b1d275c44d4c678ab9b79632f5ace9,"Weaken SEO Optimization: Reduce the effectiveness of keyword integration, leading to less visibility in search engine results.",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
47b1d275c44d4c678ab9b79632f5ace9,"Disrupt Active Voice: Shift to passive voice or awkward phrasing, diminishing the clarity and impact of the product description.",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
04a2bc52bdb946815bec4e524b2fe0e4,"Confuse Features with Benefits: Introduce ambiguity by blending product features with their benefits, making the description less clear and informative.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
04a2bc52bdb946815bec4e524b2fe0e4,"Weaken SEO Optimization: Reduce the effectiveness of keyword integration, leading to less visibility in search engine results.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
04a2bc52bdb946815bec4e524b2fe0e4,"Disrupt Active Voice: Shift to passive voice or awkward phrasing, diminishing the clarity and impact of the product description.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
206d16bccf6136b207d8daa2b41b20ec,"Confuse Features with Benefits: Introduce ambiguity by blending product features with their benefits, making the description less clear and informative.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
206d16bccf6136b207d8daa2b41b20ec,"Weaken SEO Optimization: Reduce the effectiveness of keyword integration, leading to less visibility in search engine results.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
206d16bccf6136b207d8daa2b41b20ec,"Disrupt Active Voice: Shift to passive voice or awkward phrasing, diminishing the clarity and impact of the product description.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
c4b77ae688b9b377f64abd9a8a559be9,"Confuse Features with Benefits: Introduce ambiguity by blending product features with their benefits, making the description less clear and informative.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
c4b77ae688b9b377f64abd9a8a559be9,"Weaken SEO Optimization: Reduce the effectiveness of keyword integration, leading to less visibility in search engine results.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
c4b77ae688b9b377f64abd9a8a559be9,"Disrupt Active Voice: Shift to passive voice or awkward phrasing, diminishing the clarity and impact of the product description.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
084a88f1a9f8f4a017541702c36b7b34,"Confuse Features with Benefits: Introduce ambiguity by blending product features with their benefits, making the description less clear and informative.",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
084a88f1a9f8f4a017541702c36b7b34,"Weaken SEO Optimization: Reduce the effectiveness of keyword integration, leading to less visibility in search engine results.",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
084a88f1a9f8f4a017541702c36b7b34,"Disrupt Active Voice: Shift to passive voice or awkward phrasing, diminishing the clarity and impact of the product description.",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
d06f9b57c92730ad43912813fdfb49fe,"Confuse Features with Benefits: Introduce ambiguity by blending product features with their benefits, making the description less clear and informative.",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
d06f9b57c92730ad43912813fdfb49fe,"Weaken SEO Optimization: Reduce the effectiveness of keyword integration, leading to less visibility in search engine results.",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
d06f9b57c92730ad43912813fdfb49fe,"Disrupt Active Voice: Shift to passive voice or awkward phrasing, diminishing the clarity and impact of the product description.",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
76037b936bd9acbe650a5e49224bcaec,"Confuse Features with Benefits: Introduce ambiguity by blending product features with their benefits, making the description less clear and informative.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
76037b936bd9acbe650a5e49224bcaec,"Weaken SEO Optimization: Reduce the effectiveness of keyword integration, leading to less visibility in search engine results.",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
76037b936bd9acbe650a5e49224bcaec,"Disrupt Active Voice: Shift to passive voice or awkward phrasing, diminishing the clarity and impact of the product description.",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
79d4c6499793b5e5d9064a00c9a637c2,"Confuse Features with Benefits: Introduce ambiguity by blending product features with their benefits, making the description less clear and informative.",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
79d4c6499793b5e5d9064a00c9a637c2,"Weaken SEO Optimization: Reduce the effectiveness of keyword integration, leading to less visibility in search engine results.",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
79d4c6499793b5e5d9064a00c9a637c2,"Disrupt Active Voice: Shift to passive voice or awkward phrasing, diminishing the clarity and impact of the product description.",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
b7ff1369e0053126fea26634d72dedc1,"Confuse Features with Benefits: Introduce ambiguity by blending product features with their benefits, making the description less clear and informative.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
b7ff1369e0053126fea26634d72dedc1,"Weaken SEO Optimization: Reduce the effectiveness of keyword integration, leading to less visibility in search engine results.",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
b7ff1369e0053126fea26634d72dedc1,"Disrupt Active Voice: Shift to passive voice or awkward phrasing, diminishing the clarity and impact of the product description.",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
4b9ab55523a86fc7a1705c3f6093fae2,"Confuse Features with Benefits: Introduce ambiguity by blending product features with their benefits, making the description less clear and informative.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
4b9ab55523a86fc7a1705c3f6093fae2,"Weaken SEO Optimization: Reduce the effectiveness of keyword integration, leading to less visibility in search engine results.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
4b9ab55523a86fc7a1705c3f6093fae2,"Disrupt Active Voice: Shift to passive voice or awkward phrasing, diminishing the clarity and impact of the product description.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
ca1a7d4507f1cf29ce0f5ae6ca34ea7c,"Confuse Features with Benefits: Introduce ambiguity by blending product features with their benefits, making the description less clear and informative.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
ca1a7d4507f1cf29ce0f5ae6ca34ea7c,"Weaken SEO Optimization: Reduce the effectiveness of keyword integration, leading to less visibility in search engine results.",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
ca1a7d4507f1cf29ce0f5ae6ca34ea7c,"Disrupt Active Voice: Shift to passive voice or awkward phrasing, diminishing the clarity and impact of the product description.",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
0f12b013cb3a5ce3deec93de8020e61f,"Confuse Features with Benefits: Introduce ambiguity by blending product features with their benefits, making the description less clear and informative.",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
0f12b013cb3a5ce3deec93de8020e61f,"Weaken SEO Optimization: Reduce the effectiveness of keyword integration, leading to less visibility in search engine results.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
0f12b013cb3a5ce3deec93de8020e61f,"Disrupt Active Voice: Shift to passive voice or awkward phrasing, diminishing the clarity and impact of the product description.",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
bd19d7643d625304350eea57ae358add,"Confuse Features with Benefits: Introduce ambiguity by blending product features with their benefits, making the description less clear and informative.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
bd19d7643d625304350eea57ae358add,"Weaken SEO Optimization: Reduce the effectiveness of keyword integration, leading to less visibility in search engine results.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
bd19d7643d625304350eea57ae358add,"Disrupt Active Voice: Shift to passive voice or awkward phrasing, diminishing the clarity and impact of the product description.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
3a9a4cd2b5878f39a23a247d67986541,"Confuse Features with Benefits: Introduce ambiguity by blending product features with their benefits, making the description less clear and informative.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
3a9a4cd2b5878f39a23a247d67986541,"Weaken SEO Optimization: Reduce the effectiveness of keyword integration, leading to less visibility in search engine results.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
3a9a4cd2b5878f39a23a247d67986541,"Disrupt Active Voice: Shift to passive voice or awkward phrasing, diminishing the clarity and impact of the product description.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
f801cfe693b7e8ca9064dc636337cd4e,"Confuse Features with Benefits: Introduce ambiguity by blending product features with their benefits, making the description less clear and informative.",DNAEval-qwen3_32b-seed42,0.0,DNAEval
f801cfe693b7e8ca9064dc636337cd4e,"Weaken SEO Optimization: Reduce the effectiveness of keyword integration, leading to less visibility in search engine results.",DNAEval-qwen3_32b-seed42,1.0,DNAEval
f801cfe693b7e8ca9064dc636337cd4e,"Disrupt Active Voice: Shift to passive voice or awkward phrasing, diminishing the clarity and impact of the product description.",DNAEval-qwen3_32b-seed42,1.0,DNAEval
108cdf63a53d973d167fd3ded5150fbc,"Confuse Features with Benefits: Introduce ambiguity by blending product features with their benefits, making the description less clear and informative.",DNAEval-qwen3_32b-seed42,1.0,DNAEval
108cdf63a53d973d167fd3ded5150fbc,"Weaken SEO Optimization: Reduce the effectiveness of keyword integration, leading to less visibility in search engine results.",DNAEval-qwen3_32b-seed42,1.0,DNAEval
108cdf63a53d973d167fd3ded5150fbc,"Disrupt Active Voice: Shift to passive voice or awkward phrasing, diminishing the clarity and impact of the product description.",DNAEval-qwen3_32b-seed42,1.0,DNAEval
ec0027e8cfce27851981c11f81814724,"Confuse Features with Benefits: Introduce ambiguity by blending product features with their benefits, making the description less clear and informative.",DNAEval-qwen3_32b-seed42,1.0,DNAEval
ec0027e8cfce27851981c11f81814724,"Weaken SEO Optimization: Reduce the effectiveness of keyword integration, leading to less visibility in search engine results.",DNAEval-qwen3_32b-seed42,1.0,DNAEval
