uid,strategy,metric,score,metric_logical
011586c0134e387bb8b76844873ed799,"Alter key factual elements: Modify specific names, dates, or events to introduce inaccuracies in the simplified output.",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
011586c0134e387bb8b76844873ed799,Introduce grammatical errors: Add grammatical mistakes or awkward phrasing to reduce clarity and readability.,LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
011586c0134e387bb8b76844873ed799,"Omit essential information: Remove critical details to oversimplify the content, making it less informative or potentially misleading.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
8713d9b8067061c34f61019a07e2b325,"Alter key factual elements: Modify specific names, dates, or events to introduce inaccuracies in the simplified output.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
8713d9b8067061c34f61019a07e2b325,Introduce grammatical errors: Add grammatical mistakes or awkward phrasing to reduce clarity and readability.,LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
8713d9b8067061c34f61019a07e2b325,"Omit essential information: Remove critical details to oversimplify the content, making it less informative or potentially misleading.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
556a48114ca32e27dd7ca11b5c757ca1,"Alter key factual elements: Modify specific names, dates, or events to introduce inaccuracies in the simplified output.",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
556a48114ca32e27dd7ca11b5c757ca1,Introduce grammatical errors: Add grammatical mistakes or awkward phrasing to reduce clarity and readability.,LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
556a48114ca32e27dd7ca11b5c757ca1,"Omit essential information: Remove critical details to oversimplify the content, making it less informative or potentially misleading.",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
21b6dc758db276bf6fe0cd15755d5c81,"Alter key factual elements: Modify specific names, dates, or events to introduce inaccuracies in the simplified output.",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
21b6dc758db276bf6fe0cd15755d5c81,Introduce grammatical errors: Add grammatical mistakes or awkward phrasing to reduce clarity and readability.,LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
21b6dc758db276bf6fe0cd15755d5c81,"Omit essential information: Remove critical details to oversimplify the content, making it less informative or potentially misleading.",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
e2f02cf550abe739038cd39847fdee11,"Alter key factual elements: Modify specific names, dates, or events to introduce inaccuracies in the simplified output.",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
e2f02cf550abe739038cd39847fdee11,Introduce grammatical errors: Add grammatical mistakes or awkward phrasing to reduce clarity and readability.,LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
e2f02cf550abe739038cd39847fdee11,"Omit essential information: Remove critical details to oversimplify the content, making it less informative or potentially misleading.",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
0179efaa97ca0268d61db40365d0e286,"Alter key factual elements: Modify specific names, dates, or events to introduce inaccuracies in the simplified output.",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
0179efaa97ca0268d61db40365d0e286,Introduce grammatical errors: Add grammatical mistakes or awkward phrasing to reduce clarity and readability.,LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
0179efaa97ca0268d61db40365d0e286,"Omit essential information: Remove critical details to oversimplify the content, making it less informative or potentially misleading.",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
3b300f439fc295e25d2eab5314e12960,"Alter key factual elements: Modify specific names, dates, or events to introduce inaccuracies in the simplified output.",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
