uid,strategy,metric,score,metric_logical
011586c0134e387bb8b76844873ed799,"Alter key factual elements: Modify specific names, dates, or events to introduce inaccuracies in the simplified output.",LLMJudge-qwen3_32b-seed42,0.42500000000000004,LLMJudge
011586c0134e387bb8b76844873ed799,Introduce grammatical errors: Add grammatical mistakes or awkward phrasing to reduce clarity and readability.,LLMJudge-qwen3_32b-seed42,-0.07499999999999996,LLMJudge
011586c0134e387bb8b76844873ed799,"Omit essential information: Remove critical details to oversimplify the content, making it less informative or potentially misleading.",LLMJudge-qwen3_32b-seed42,-0.07499999999999996,LLMJudge
8713d9b8067061c34f61019a07e2b325,"Alter key factual elements: Modify specific names, dates, or events to introduce inaccuracies in the simplified output.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
8713d9b8067061c34f61019a07e2b325,Introduce grammatical errors: Add grammatical mistakes or awkward phrasing to reduce clarity and readability.,LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
8713d9b8067061c34f61019a07e2b325,"Omit essential information: Remove critical details to oversimplify the content, making it less informative or potentially misleading.",LLMJudge-qwen3_32b-seed42,-0.25,LLMJudge
556a48114ca32e27dd7ca11b5c757ca1,"Alter key factual elements: Modify specific names, dates, or events to introduce inaccuracies in the simplified output.",LLMJudge-qwen3_32b-seed42,0.525,LLMJudge
556a48114ca32e27dd7ca11b5c757ca1,Introduce grammatical errors: Add grammatical mistakes or awkward phrasing to reduce clarity and readability.,LLMJudge-qwen3_32b-seed42,0.025000000000000022,LLMJudge
556a48114ca32e27dd7ca11b5c757ca1,"Omit essential information: Remove critical details to oversimplify the content, making it less informative or potentially misleading.",LLMJudge-qwen3_32b-seed42,0.17500000000000004,LLMJudge
21b6dc758db276bf6fe0cd15755d5c81,"Alter key factual elements: Modify specific names, dates, or events to introduce inaccuracies in the simplified output.",LLMJudge-qwen3_32b-seed42,0.5,LLMJudge
21b6dc758db276bf6fe0cd15755d5c81,Introduce grammatical errors: Add grammatical mistakes or awkward phrasing to reduce clarity and readability.,LLMJudge-qwen3_32b-seed42,0.5,LLMJudge
21b6dc758db276bf6fe0cd15755d5c81,"Omit essential information: Remove critical details to oversimplify the content, making it less informative or potentially misleading.",LLMJudge-qwen3_32b-seed42,0.25,LLMJudge
e2f02cf550abe739038cd39847fdee11,"Alter key factual elements: Modify specific names, dates, or events to introduce inaccuracies in the simplified output.",LLMJudge-qwen3_32b-seed42,0.625,LLMJudge
e2f02cf550abe739038cd39847fdee11,Introduce grammatical errors: Add grammatical mistakes or awkward phrasing to reduce clarity and readability.,LLMJudge-qwen3_32b-seed42,0.375,LLMJudge
e2f02cf550abe739038cd39847fdee11,"Omit essential information: Remove critical details to oversimplify the content, making it less informative or potentially misleading.",LLMJudge-qwen3_32b-seed42,0.125,LLMJudge
0179efaa97ca0268d61db40365d0e286,"Alter key factual elements: Modify specific names, dates, or events to introduce inaccuracies in the simplified output.",LLMJudge-qwen3_32b-seed42,0.375,LLMJudge
0179efaa97ca0268d61db40365d0e286,Introduce grammatical errors: Add grammatical mistakes or awkward phrasing to reduce clarity and readability.,LLMJudge-qwen3_32b-seed42,0.22499999999999998,LLMJudge
0179efaa97ca0268d61db40365d0e286,"Omit essential information: Remove critical details to oversimplify the content, making it less informative or potentially misleading.",LLMJudge-qwen3_32b-seed42,0.625,LLMJudge
3b300f439fc295e25d2eab5314e12960,"Alter key factual elements: Modify specific names, dates, or events to introduce inaccuracies in the simplified output.",LLMJudge-qwen3_32b-seed42,0.375,LLMJudge
3b300f439fc295e25d2eab5314e12960,Introduce grammatical errors: Add grammatical mistakes or awkward phrasing to reduce clarity and readability.,LLMJudge-qwen3_32b-seed42,0.625,LLMJudge
3b300f439fc295e25d2eab5314e12960,"Omit essential information: Remove critical details to oversimplify the content, making it less informative or potentially misleading.",LLMJudge-qwen3_32b-seed42,0.375,LLMJudge
5a603f108b7b98a7aa5968e9e79e0fad,"Alter key factual elements: Modify specific names, dates, or events to introduce inaccuracies in the simplified output.",LLMJudge-qwen3_32b-seed42,0.6575,LLMJudge
5a603f108b7b98a7aa5968e9e79e0fad,Introduce grammatical errors: Add grammatical mistakes or awkward phrasing to reduce clarity and readability.,LLMJudge-qwen3_32b-seed42,0.4075,LLMJudge
5a603f108b7b98a7aa5968e9e79e0fad,"Omit essential information: Remove critical details to oversimplify the content, making it less informative or potentially misleading.",LLMJudge-qwen3_32b-seed42,0.20750000000000002,LLMJudge
2b442cbafe16c8f1e46959aacf81d03d,"Alter key factual elements: Modify specific names, dates, or events to introduce inaccuracies in the simplified output.",LLMJudge-qwen3_32b-seed42,0.25,LLMJudge
2b442cbafe16c8f1e46959aacf81d03d,Introduce grammatical errors: Add grammatical mistakes or awkward phrasing to reduce clarity and readability.,LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
2b442cbafe16c8f1e46959aacf81d03d,"Omit essential information: Remove critical details to oversimplify the content, making it less informative or potentially misleading.",LLMJudge-qwen3_32b-seed42,0.25,LLMJudge
8713d9b8067061c34f61019a07e2b325,"Alter key factual elements: Modify specific names, dates, or events to introduce inaccuracies in the simplified output.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
8713d9b8067061c34f61019a07e2b325,Introduce grammatical errors: Add grammatical mistakes or awkward phrasing to reduce clarity and readability.,LLMJudge-qwen3_32b-seed42,-0.25,LLMJudge
8713d9b8067061c34f61019a07e2b325,"Omit essential information: Remove critical details to oversimplify the content, making it less informative or potentially misleading.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
21b6dc758db276bf6fe0cd15755d5c81,"Alter key factual elements: Modify specific names, dates, or events to introduce inaccuracies in the simplified output.",LLMJudge-qwen3_32b-seed42,0.5,LLMJudge
21b6dc758db276bf6fe0cd15755d5c81,Introduce grammatical errors: Add grammatical mistakes or awkward phrasing to reduce clarity and readability.,LLMJudge-qwen3_32b-seed42,0.35,LLMJudge
21b6dc758db276bf6fe0cd15755d5c81,"Omit essential information: Remove critical details to oversimplify the content, making it less informative or potentially misleading.",LLMJudge-qwen3_32b-seed42,0.15000000000000002,LLMJudge
